names,category,value,score
trait_10761_0,10761,"BBBLCLBB,BBBLCLBB",1
trait_Type_0,Type,Human,18881
trait_Type_1,Type,Pig,711
trait_Type_2,Type,Elephant,256
trait_Type_3,Type,Robot,72
trait_Type_4,Type,Skeleton,57
trait_Type_5,Type,Visitor,18
trait_Type_6,Type,Dissected,5
trait_Shoes_Color_0,Shoes_Color,Black,2992
trait_Shoes_Color_1,Shoes_Color,Gray,2764
trait_Shoes_Color_2,Shoes_Color,White,2198
trait_Shoes_Color_3,Shoes_Color,Yellow,1004
trait_Shoes_Color_4,Shoes_Color,Purple,893
trait_Shoes_Color_5,Shoes_Color,Magenta,835
trait_Shoes_Color_6,Shoes_Color,Red,833
trait_Shoes_Color_7,Shoes_Color,Green,747
trait_Pants_0,Pants,Athletic Shorts,3379
trait_Pants_1,Pants,Regular Pants,3293
trait_Pants_2,Pants,Cargo Pants,2868
trait_Pants_3,Pants,Leggings,2532
trait_Pants_4,Pants,Short Leggings,2418
trait_Pants_5,Pants,Skirt,2384
trait_Pants_6,Pants,Ripped Jeans,1948
trait_Pants_7,Pants,Trackpants,677
trait_Pants_8,Pants,Suit Pants,500
trait_Pants_Color_0,Pants_Color,Denim,3783
trait_Pants_Color_1,Pants_Color,Dark Gray,3704
trait_Pants_Color_2,Pants_Color,Camo,3210
trait_Pants_Color_3,Pants_Color,Dark Red,1307
trait_Pants_Color_4,Pants_Color,Blue Camo,1005
trait_Pants_Color_5,Pants_Color,Black,763
trait_Pants_Color_6,Pants_Color,Gray,638
trait_Pants_Color_7,Pants_Color,White,629
trait_Pants_Color_8,Pants_Color,Luxe,585
trait_Pants_Color_9,Pants_Color,Posh,428
trait_Pants_Color_10,Pants_Color,Leopard Print,374
trait_Pants_Color_11,Pants_Color,Purple,218
trait_Pants_Color_12,Pants_Color,Red,197
trait_Pants_Color_13,Pants_Color,Magenta,188
trait_Pants_Color_14,Pants_Color,Green,182
trait_Pants_Color_15,Pants_Color,Yellow,171
trait_Pants_Color_16,Pants_Color,Green Plaid,69
trait_Pants_Color_17,Pants_Color,Red Plaid,69
trait_Pants_Color_18,Pants_Color,Argyle,31
trait_Shirt_Color_0,Shirt_Color,Black,3116
trait_Shirt_Color_1,Shirt_Color,Gray,2732
trait_Shirt_Color_2,Shirt_Color,White,1970
trait_Shirt_Color_3,Shirt_Color,Yellow,844
trait_Shirt_Color_4,Shirt_Color,Purple,815
trait_Shirt_Color_5,Shirt_Color,Magenta,813
trait_Shirt_Color_6,Shirt_Color,Red,749
trait_Shirt_Color_7,Shirt_Color,Camo,665
