token_id,rarityScore
1,64.74
2,113.74
3,28.73
4,27.43
5,31.16
6,141.96
7,60.32
8,43.2
9,21.1
10,35.75
11,31.21
12,26.43
13,43.05
14,85.77
15,60.56
16,85.4
17,45.07
18,28.74
19,25.23
20,23.47
21,37.96
22,84.8
23,17.77
24,19.61
25,22.32
26,50.79
27,38.67
28,40.67
29,34.17
30,95.14
31,191.57
32,20.78
33,43.92
34,30.17
35,48.14
36,20.6
37,119.34
38,37.66
39,17.86
40,50.15
41,46.64
42,70.58
43,108.28
44,32.48
45,57.81
46,64.68
47,44.49
48,122.37
49,59.99
50,137.69
51,43.9
52,87.34
53,36.84
54,42.1
55,38.42
56,35.88
57,47.09
58,31.3
59,42.15
60,35.97
61,34.39
62,66.04
63,62.27
64,20.11
65,137.42
66,39.66
67,89.13
68,58.66
69,42.71
70,45.9
71,57.48
72,30.85
73,21.85
74,115.59
75,54.33
76,186.4
77,21.66
78,31
79,53.65
80,55.83
81,36.43
82,46.1
83,59.16
84,20.21
85,28.84
86,68.53
87,51.48
88,39.32
89,63.14
90,71.46
91,74.1
92,24.13
93,54.04
94,33.02
95,70.62
96,24.67
97,68.08
98,25
99,23.06
100,30.74
101,47.33
102,23.11
103,108.97
104,41.21
105,59.01
106,25.75
107,36.74
108,35.48
109,52.44
110,15.97
111,61.73
112,22.14
113,44.38
114,17.45
115,14.72
116,38.04
117,50.83
118,48.28
119,49.08
120,37.2
121,156.09
122,66.01
123,20.51
124,36.72
125,29.68
126,18.47
127,36.03
128,26.81
129,19.52
130,28.42
131,58.49
132,33.04
133,38.04
134,47.68
135,56.91
136,41.32
137,42.01
138,41.53
139,75.21
140,19.62
141,35.18
142,32.63
143,38.78
144,45.57
145,35.81
146,27.11
147,18.46
148,41.57
149,39
150,49.88
151,101.01
152,85.48
153,30.7
154,50.92
155,211.66
156,72.09
157,39.76
158,42.5
159,34.22
160,20.92
161,18.42
162,28.55
163,45.82
164,19.52
165,26.4
166,50.94
167,50.81
168,51.37
169,78.58
170,46.85
171,34.95
172,49.12
173,24.05
174,25.82
175,58.89
176,38.59
177,69.8
178,76.5
179,82.59
180,54.67
181,95.81
182,34.73
183,21.05
184,59.81
185,29.18
186,40.4
187,19.77
188,29.85
189,89.6
190,46.63
191,39.5
192,52.38
193,34.71
194,20.85
195,26.63
196,24.51
197,67.67
198,23.66
199,40.76
200,25.49
201,40.61
202,18.39
203,89.2
204,49.07
205,98.52
206,41.17
207,27.95
208,28.83
209,102.35
210,56.14
211,62.44
212,25.05
213,21.77
214,37.81
215,25.92
216,21.61
217,28.54
218,53.27
219,25.2
220,27.08
221,33.53
222,31.75
223,56.84
224,98.77
225,19.4
226,78.33
227,52.27
228,21.63
229,30.13
230,30.67
231,40.49
232,66.02
233,49.6
234,114.92
235,24.38
236,44.06
237,85.67
238,30.22
239,17.93
240,32.45
241,30.36
242,33.35
243,183.8
244,26.03
245,27.95
246,18.96
247,82.38
248,37.03
249,53.56
250,24.69
251,19.36
252,28.4
253,29.97
254,25.24
255,52.98
256,187.81
257,42.93
258,37.66
259,34.64
260,63.15
261,31.95
262,14.12
263,27.83
264,30.5
265,90.43
266,128.67
267,56.15
268,44.14
269,39.8
270,21.27
271,31.88
272,40.21
273,56.1
274,27.8
275,19.21
276,22.55
277,46.18
278,30.18
279,19.81
280,29.81
281,17.03
282,39.43
283,28.75
284,20.25
285,31.14
286,46.82
287,32.41
288,49.97
289,23.46
290,19.39
291,61.83
292,49.88
293,30.28
294,34.16
295,19.98
296,26.56
297,27.24
298,41.09
299,28.4
300,54.74
301,20.83
302,96
303,15.64
304,37.19
305,23.58
306,90
307,26.36
308,22.59
309,66.24
310,27.23
311,30.56
312,68.53
313,76.95
314,24.52
315,38.46
316,23.01
317,30.05
318,64.9
319,43.29
320,31.07
321,54.78
322,58.15
323,73.5
324,64.49
325,31.69
326,22.88
327,32.75
328,36.82
329,68.84
330,27.65
331,41.74
332,54
333,21.22
334,56.73
335,53.46
336,123
337,18.29
338,48.32
339,31.32
340,165.91
341,117.93
342,43.66
343,43.52
344,23.4
345,23.64
346,83.11
347,25.7
348,70.74
349,108.52
350,58.03
351,36.87
352,23.15
353,21.71
354,53.39
355,33.55
356,29.41
357,45.24
358,38.24
359,98.03
360,45.46
361,22.3
362,14.57
363,66.28
364,42.57
365,21.73
366,26.57
367,82.76
368,18.39
369,22.18
370,21.91
371,38.91
372,36.49
373,20.09
374,54.93
375,47.58
376,52.65
377,17.1
378,38.45
379,104.99
380,37.36
381,24.23
382,77.66
383,27.78
384,47.7
385,28.36
386,37.24
387,22.89
388,36.65
389,49.42
390,20.68
391,16.45
392,30.05
393,50.03
394,45.71
395,26
396,35.85
397,49.46
398,46.68
399,74.86
400,26.71
401,14.54
402,28.7
403,22.07
404,60.68
405,12.68
406,45.86
407,26.24
408,25.45
409,85.68
410,28.59
411,51.93
412,48.55
413,47.49
414,60.09
415,34.98
416,26.68
417,23.59
418,78.55
419,56.7
420,38.44
421,70.94
422,24.49
423,26.26
424,42.99
425,60.68
426,22.35
427,23.52
428,42.2
429,16.24
430,31.24
431,51.73
432,35.59
433,27.69
434,21.04
435,21.75
436,34.6
437,28.08
438,43.73
439,13.79
440,35.68
441,20.13
442,75.4
443,26.55
444,36.31
445,29.38
446,28.85
447,47.03
448,81.05
449,38.11
450,30.36
451,38.63
452,95.23
453,50.36
454,35.9
455,22.15
456,28.99
457,48.01
458,85.57
459,38.56
460,30.44
461,18.66
462,32.26
463,31.74
464,100.26
465,40.74
466,40.33
467,38.88
468,26.86
469,23.29
470,31.51
471,104.4
472,49.79
473,82.21
474,65.57
475,33.46
476,48.37
477,25.43
478,42.34
479,13.33
480,30.6
481,110.67
482,57.13
483,17.37
484,202.55
485,34.07
486,24.1
487,53.92
488,83.38
489,17.03
490,84.59
491,26.74
492,25.56
493,48.11
494,24.86
495,73.41
496,20.92
497,27.18
498,42.85
499,21.79
500,27.91
501,51.11
502,71.91
503,30.69
504,34.17
505,30.25
506,38.39
507,28.9
508,45.86
509,38.84
510,29.95
511,29.05
512,67.23
513,57.39
514,27.69
515,45.32
516,33.13
517,152.46
518,39.97
519,77.17
520,32.88
521,41.97
522,55.4
523,24.7
524,63.11
525,58.33
526,21.56
527,21.7
528,17.23
529,22.47
530,19.54
531,57.92
532,31.73
533,28.35
534,49.54
535,28.45
536,24.96
537,19.42
538,62.04
539,21.8
540,38.19
541,35.63
542,35.01
543,123.09
544,24
545,23.68
546,98.54
547,41.83
548,22.86
549,128.28
550,13.43
551,24.02
552,49.61
553,58.94
554,47.7
555,60.78
556,20.37
557,44.46
558,29.39
559,44.11
560,43.25
561,37.73
562,20.3
563,83.73
564,143.67
565,41.79
566,27.8
567,148.99
568,31.64
569,20.54
570,70.59
571,47.57
572,46.68
573,26.21
574,60.5
575,43.11
576,73.17
577,58.72
578,19.96
579,40.04
580,23.11
581,97.26
582,119.94
583,22.77
584,20.25
585,44.38
586,61.92
587,49.2
588,101.13
589,34.24
590,26.01
591,25.95
592,20.36
593,52.9
594,21.91
595,52.18
596,45.73
597,24.57
598,46.99
599,65.83
600,39.61
601,34.31
602,17.91
603,13.24
604,114.85
605,25.87
606,25.55
607,102.4
608,40.14
609,91.69
610,121.15
611,57.31
612,26.76
613,99.54
614,56.12
615,63.71
616,43.57
617,27.51
618,24.35
619,19.05
620,61.01
621,66.4
622,71.82
623,20.39
624,72.85
625,69.76
626,112.55
627,69.88
628,53.59
629,28.9
630,142.47
631,57.13
632,77.1
633,20.53
634,64.88
635,16.73
636,21.72
637,59.89
638,56.82
639,55.11
640,19.47
641,19.8
642,28.52
643,19.23
644,99.52
645,41.85
646,43.94
647,52.06
648,30.52
649,31.31
650,26.28
651,14.1
652,28.82
653,23.19
654,35.37
655,34.93
656,74.07
657,90.04
658,37.13
659,88.46
660,28.49
661,44.27
662,24.26
663,167.18
664,25.23
665,25.1
666,42.6
667,35.37
668,34.62
669,55.68
670,30.55
671,39.15
672,141.67
673,33.81
674,18.1
675,19.08
676,31.45
677,120.01
678,46.39
679,51.97
680,30.13
681,32.81
682,20
683,48.85
684,41.14
685,41.35
686,53.13
687,37.72
688,23.62
689,56.49
690,213.15
691,95.8
692,112.12
693,131.5
694,26.8
695,37.95
696,23.39
697,53.87
698,53.28
699,20.23
700,71.97
701,15.9
702,45.24
703,41.88
704,27.29
705,25.13
706,13.05
707,20.36
708,29.76
709,20.13
710,151.96
711,29.06
712,24.05
713,44.75
714,31.66
715,26.63
716,97.98
717,32.19
718,59.32
719,66.62
720,28.24
721,46.18
722,98.54
723,58.98
724,194.87
725,56.34
726,39.7
727,31.98
728,48.49
729,22.55
730,22.09
731,23.03
732,71.67
733,37.18
734,77.65
735,60.1
736,27.26
737,21.18
738,47.29
739,29.11
740,26.55
741,14.03
