key,value
30-08-2021,80
29-08-2021,82
08-06-2021,12
11-07-2021,98
05-05-2021,154
23-05-2021,20
09-06-2021,15
19-11-2021,1
06-09-2021,6
05-09-2021,12
07-08-2021,132
12-05-2021,32
03-05-2021,402
25-05-2021,15
10-08-2021,36
04-05-2021,414
07-07-2021,25
08-11-2021,5
10-09-2021,11
24-08-2021,69
24-06-2021,13
21-05-2021,19
09-05-2021,80
16-11-2021,9
23-08-2021,151
06-05-2021,112
22-08-2021,33
06-08-2021,295
28-10-2021,2
25-10-2021,4
19-10-2021,6
11-10-2021,3
04-08-2021,127
30-10-2021,3
13-06-2021,17
30-05-2021,16
28-05-2021,29
28-08-2021,135
08-08-2021,108
06-11-2021,4
18-09-2021,7
14-05-2021,32
02-09-2021,14
09-09-2021,13
14-06-2021,12
05-06-2021,11
15-06-2021,16
04-10-2021,10
16-09-2021,3
08-07-2021,31
04-06-2021,14
19-08-2021,29
26-05-2021,7
16-08-2021,20
02-06-2021,15
10-07-2021,64
25-07-2021,10
20-07-2021,32
15-11-2021,5
13-11-2021,3
07-05-2021,119
14-08-2021,16
26-10-2021,2
22-10-2021,4
17-08-2021,18
01-08-2021,118
27-06-2021,17
05-08-2021,163
19-07-2021,44
21-08-2021,19
15-05-2021,16
26-06-2021,30
28-09-2021,7
26-07-2021,28
30-06-2021,26
29-06-2021,24
19-06-2021,6
27-08-2021,32
18-05-2021,18
09-10-2021,4
07-10-2021,10
09-08-2021,60
13-05-2021,28
05-10-2021,4
24-09-2021,15
23-09-2021,14
13-07-2021,40
18-06-2021,17
01-06-2021,30
30-07-2021,18
04-11-2021,1
20-05-2021,12
14-07-2021,19
11-08-2021,40
30-09-2021,4
01-09-2021,17
17-09-2021,4
13-09-2021,5
31-07-2021,103
23-06-2021,10
03-06-2021,28
04-07-2021,26
20-11-2021,0
15-08-2021,38
31-05-2021,16
18-10-2021,8
02-10-2021,9
26-08-2021,48
31-08-2021,9
03-08-2021,68
02-08-2021,58
17-10-2021,2
13-08-2021,30
03-07-2021,16
25-08-2021,29
06-06-2021,17
10-05-2021,48
17-11-2021,2
31-10-2021,3
10-10-2021,4
22-09-2021,15
03-09-2021,14
23-07-2021,8
12-06-2021,14
08-05-2021,81
29-09-2021,6
27-09-2021,10
12-07-2021,71
15-10-2021,2
12-10-2021,7
05-07-2021,48
09-11-2021,1
05-11-2021,3
14-10-2021,3
16-10-2021,1
07-11-2021,5
28-07-2021,9
11-05-2021,17
06-07-2021,36
24-05-2021,18
22-11-2021,5
12-09-2021,5
12-08-2021,14
08-09-2021,4
09-07-2021,48
28-06-2021,26
20-08-2021,18
10-06-2021,7
21-06-2021,10
21-11-2021,2
01-07-2021,19
11-09-2021,4
24-10-2021,1
01-10-2021,4
17-05-2021,15
10-11-2021,4
24-07-2021,12
29-10-2021,2
08-10-2021,7
25-06-2021,16
16-06-2021,20
16-07-2021,32
27-07-2021,17
02-11-2021,7
04-09-2021,9
07-09-2021,5
17-07-2021,11
18-07-2021,16
15-07-2021,15
02-07-2021,14
22-07-2021,23
29-05-2021,14
21-10-2021,5
29-07-2021,5
20-06-2021,19
27-10-2021,6
14-11-2021,2
19-09-2021,4
03-11-2021,2
11-06-2021,5
18-08-2021,21
01-11-2021,3
22-06-2021,8
03-10-2021,6
15-09-2021,4
16-05-2021,8
13-10-2021,4
14-09-2021,3
06-10-2021,4
27-05-2021,8
07-06-2021,15
17-06-2021,12
21-09-2021,14
21-07-2021,22
26-09-2021,9
18-11-2021,5
23-10-2021,6
19-05-2021,9
11-11-2021,4
25-09-2021,7
12-11-2021,0
20-10-2021,2
22-05-2021,10
20-09-2021,6
24-11-2021,1
23-11-2021,1
