key,value
30-08-2021,522
29-08-2021,284
08-06-2021,10
11-07-2021,74
05-05-2021,264
23-05-2021,18
09-06-2021,7
19-11-2021,26
06-09-2021,40
12-05-2021,58
25-05-2021,16
10-08-2021,54
08-11-2021,13
24-08-2021,100
16-11-2021,22
23-08-2021,123
06-05-2021,161
22-08-2021,25
06-08-2021,305
28-10-2021,7
25-10-2021,11
19-10-2021,14
30-10-2021,15
04-05-2021,521
28-08-2021,261
08-08-2021,124
06-11-2021,4
30-05-2021,10
03-05-2021,300
02-09-2021,68
09-09-2021,15
14-06-2021,13
15-06-2021,11
04-10-2021,40
16-09-2021,39
08-07-2021,32
04-06-2021,19
02-06-2021,16
10-07-2021,53
25-07-2021,8
15-11-2021,26
13-11-2021,25
05-09-2021,50
07-05-2021,155
26-10-2021,36
17-08-2021,18
07-08-2021,186
05-08-2021,122
21-08-2021,25
26-06-2021,7
28-09-2021,21
26-07-2021,15
19-06-2021,3
09-05-2021,96
27-08-2021,80
04-08-2021,129
09-08-2021,76
13-05-2021,43
05-10-2021,22
13-07-2021,21
01-06-2021,19
30-07-2021,14
27-06-2021,16
20-05-2021,13
01-08-2021,105
11-08-2021,42
30-09-2021,23
01-09-2021,112
30-06-2021,13
17-09-2021,16
31-07-2021,71
20-11-2021,19
15-08-2021,15
18-10-2021,8
02-10-2021,22
26-08-2021,58
31-08-2021,152
02-08-2021,32
17-10-2021,16
25-08-2021,64
17-11-2021,47
04-11-2021,15
10-10-2021,15
03-09-2021,54
12-06-2021,12
08-05-2021,93
29-09-2021,12
15-10-2021,17
07-10-2021,21
10-05-2021,76
14-07-2021,23
14-05-2021,40
05-07-2021,36
09-11-2021,15
14-10-2021,17
16-10-2021,9
07-11-2021,9
14-08-2021,21
11-05-2021,66
06-07-2021,16
13-06-2021,20
22-09-2021,19
22-11-2021,16
12-09-2021,24
12-08-2021,17
03-08-2021,32
08-09-2021,28
09-07-2021,53
29-06-2021,14
19-07-2021,20
10-06-2021,15
03-06-2021,9
21-06-2021,9
21-11-2021,10
01-07-2021,13
11-09-2021,14
24-10-2021,9
04-07-2021,26
03-07-2021,6
17-05-2021,12
07-07-2021,16
10-11-2021,14
24-07-2021,10
29-10-2021,50
12-10-2021,11
08-10-2021,15
16-08-2021,19
16-07-2021,16
27-07-2021,3
01-10-2021,16
02-11-2021,17
04-09-2021,30
12-07-2021,43
07-09-2021,22
16-06-2021,17
17-07-2021,19
15-07-2021,15
09-10-2021,23
24-05-2021,17
22-07-2021,6
24-06-2021,12
21-05-2021,10
15-05-2021,29
19-08-2021,12
29-05-2021,6
21-10-2021,14
20-06-2021,5
13-08-2021,26
13-09-2021,15
27-10-2021,8
14-11-2021,10
19-09-2021,12
11-10-2021,14
20-08-2021,21
31-05-2021,24
18-09-2021,23
18-07-2021,11
03-11-2021,14
01-11-2021,16
02-07-2021,18
03-10-2021,11
20-07-2021,15
15-09-2021,23
16-05-2021,21
06-10-2021,13
23-07-2021,6
26-05-2021,10
18-05-2021,17
13-10-2021,9
21-09-2021,13
24-09-2021,19
17-06-2021,5
28-05-2021,18
21-07-2021,15
31-10-2021,18
14-09-2021,11
27-09-2021,8
06-06-2021,15
22-10-2021,9
18-08-2021,9
07-06-2021,17
18-06-2021,9
23-09-2021,13
28-06-2021,16
23-10-2021,13
19-05-2021,8
18-11-2021,24
26-09-2021,13
11-06-2021,9
29-07-2021,7
25-09-2021,10
12-11-2021,11
20-10-2021,18
27-05-2021,9
22-06-2021,13
22-05-2021,9
20-09-2021,5
05-11-2021,8
05-06-2021,20
28-07-2021,3
10-09-2021,15
23-06-2021,7
25-06-2021,5
11-11-2021,13
24-11-2021,10
23-11-2021,10
