key,value
30-08-2021,77
19-10-2021,2
06-08-2021,16
04-05-2021,98
03-05-2021,72
05-05-2021,37
05-09-2021,10
09-05-2021,31
09-08-2021,7
11-07-2021,11
31-08-2021,25
03-09-2021,14
08-05-2021,19
29-08-2021,32
13-06-2021,3
17-11-2021,2
28-08-2021,14
01-09-2021,24
02-09-2021,12
08-08-2021,6
10-05-2021,10
15-05-2021,7
04-09-2021,6
10-08-2021,5
07-08-2021,17
12-05-2021,8
13-09-2021,3
19-09-2021,2
09-07-2021,1
07-05-2021,26
16-05-2021,3
06-05-2021,22
24-08-2021,2
15-09-2021,5
13-05-2021,3
14-05-2021,8
06-09-2021,8
23-08-2021,3
14-09-2021,1
01-06-2021,3
10-11-2021,2
17-09-2021,4
24-09-2021,2
28-10-2021,1
10-10-2021,1
09-06-2021,2
06-06-2021,5
02-11-2021,3
16-09-2021,6
11-05-2021,8
09-09-2021,1
12-07-2021,6
10-09-2021,1
12-09-2021,1
03-06-2021,1
18-05-2021,2
16-06-2021,1
25-08-2021,1
14-06-2021,2
19-05-2021,1
08-10-2021,2
17-05-2021,2
20-07-2021,1
05-07-2021,1
20-09-2021,1
05-06-2021,1
19-11-2021,1
27-08-2021,2
09-10-2021,3
13-08-2021,2
26-08-2021,2
21-05-2021,1
14-07-2021,1
31-05-2021,1
08-09-2021,2
11-06-2021,1
01-11-2021,1
07-09-2021,1
08-06-2021,1
29-05-2021,1
11-10-2021,2
25-05-2021,1
07-06-2021,1
18-09-2021,2
10-06-2021,1
04-08-2021,1
05-10-2021,1
02-06-2021,1
